DatasetID,LAT,LON,Chemical,State,Watershed,Stream,Date_start,Date_end,Pre-fire: data present,Pre-fire: start date,Pre-fire: end date,Pre-fire: total data points,Pre-fire: data frequency,Post-fire: data present,Post-fire: start date,Post-fire: end date,Post-fire: total data points,Post-fire: data frequency,missing data percentage,reference/links,notes
"Starting from ID1, ID2, ID3…. Each ID represents a same site/watershed/stream/river",,,"If a site has several water chemistry of different lengths of time series, please use one row for each water chemistry (but same ""DatasetID"")",The state where the site is located (2 letter abv.),name or ID of watershed if known,name or ID of stream if known,YYYMMDD (put 15 for DD if unk or composite),YYYMMDD (put 15 for DD if unk or composite),Y or N,YYYMMDD (put 15 for DD if unk or composite),YYYMMDD (put 15 for DD if unk or composite),approximate number of data points each chemical,"if regular sampling, weekly/monthly etc. otherwise, NA",Y or N,YYYMMDD (put 15 for DD if unk or composite),YYYMMDD (put 15 for DD if unk or composite),approximate number of data points each chemical,"if regular sampling, weekly/monthly etc. otherwise, NA",The approximate percent of missing data,,
ID2,34.43226,-119.78414,NO3,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,PO4,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,TDN,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,25%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,TDP,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,30%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,TPC,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,TPN,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,TPP,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,88%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,TSS,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,75%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID2,34.43226,-119.78414,SpecCond,California,,Atascadero Creek,20020602,20110911,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,5%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,NH4,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,2%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,NO3,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,PO4,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,TDN,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,25%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,TDP,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,30%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,TPC,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,TPN,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,TPP,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,88%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,TSS,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,75%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID3,34.43854,-119.90563,SpecCond,California,,Bell Canyon Creek,20041013,20180607,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,5%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,NH4,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,2%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,NO3,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,PO4,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,TDN,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,25%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,TDP,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,30%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,TPC,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,TPN,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,TPP,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,88%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,TSS,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,75%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID4,34.41761,-119.87406,SpecCond,California,,Devereaux Creek,20031008,20070222,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,5%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,NH4,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,2%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,NO3,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,PO4,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,TDN,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,25%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,TDP,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,30%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,TPC,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,TPN,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,TPP,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,88%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,TSS,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,75%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID5,34.4855,-120.22917,SpecCond,California,,Gaviota Creek,20020206,20170928,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,5%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,NH4,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,2%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,NO3,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,PO4,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,1%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,TDN,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,25%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,TDP,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,30%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,TPC,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,TPN,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,85%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
ID6,34.4752858,-120.14122,TPP,California,,Arroyo Hondo Creek,20001112,20180728,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,Y,,,,Every two weeks during dry season (May - October); weekly during rainy season (November - April); hourly during rising limb of hydrograph during storms; every couple of hours as flow subsides after storms,88%,https://sbclter.msi.ucsb.edu/data/catalog/package/?package=knb-lter-sbc.6,
