usgs_site,event_id,segment_intersects,distance,segment,vertex,Euclidean
USGS-07226500,NM3643210392319880407,7,182351.80032741392,454,3,113293.96018269903
USGS-07227100,NM3474310406619930321,1,79846.34681632392,190,61,47148.08358310078
USGS-07227100,NM3495910381020160221,2,92573.96305080381,251,129,52833.428451122425
USGS-07227100,NM3502110365219900621,3,65899.25744168925,141,9,36760.03148326764
USGS-07227100,NM3503310396519980714,4,113344.02996371176,345,7,59286.00607358766
USGS-07227100,NM3513610334820090615,NA,NA,NA,NA,NA
USGS-07227100,NM3514810334219931130,NA,NA,NA,NA,NA
USGS-07227100,NM3515310336419950409,NA,NA,NA,NA,NA
USGS-07297910,NM3469410372520110618,7,304117.8329075109,310,10,180978.3063976392
USGS-07297910,NM3475910343019940105,2,308155.39701455605,309,1,179112.96045237355
USGS-07297910,TX3465510290919940401,NA,NA,NA,NA,NA
USGS-07297910,TX3476010237020110524,1,155588.98439295392,192,25,74050.69500590696
USGS-07297910,TX3478910197820060312,NA,NA,NA,NA,NA
USGS-07297910,TX3478910198919930225,NA,NA,NA,NA,NA
USGS-07297910,TX3486810143220110228,NA,NA,NA,NA,NA
USGS-07297910,TX3489510211620120326,7,121020.50880832304,181,22,61644.65013333777
USGS-07297910,TX3489510211620150311,5,129359.2140743653,204,53,64851.32097876706
USGS-07297910,TX3489510211620180312,6,122786.32262691358,181,1,63235.783395756334
USGS-07297910,TX3491210151719980708,2,13970.891584342462,46,77,10506.434858003371
USGS-07297910,TX3492010156020060521,8,16843.688954980662,46,36,11812.028748941786
USGS-07297910,TX3495110185320110524,10,38201.562334474715,75,56,24181.630546736986
USGS-07297910,TX3500410292520070421,NA,NA,NA,NA,NA
USGS-07297910,TX3504610288820060520,NA,NA,NA,NA,NA
USGS-07297910,TX3507410208419950224,1,114883.35367615183,170,38,65271.28316003616
USGS-07297910,TX3509110181320110227,1,71191.48715324175,4,7,40282.34038104327
USGS-07299512,TX3479610055320180503,NA,NA,NA,NA,NA
USGS-07299512,TX3483110052319960425,1,42082.25046227238,9,35,28408.420481489477
USGS-07307800,TX3379010084720180413,3,130602.85685082106,2091,9,85631.61789891694
USGS-07307800,TX3383110101620080415,2,140003.75387066862,2148,50,95996.39163284951
USGS-07307800,TX3400510082720110227,43,99329.51586772915,906,20,68334.21869801472
USGS-07307800,TX3401610055920180125,1,69964.91951484318,636,30,45216.056011430635
USGS-07307800,TX3403010042120190817,10,51493.53046032404,453,17,27655.400087922928
USGS-07307800,TX3405810085120110416,1,101028.92537612039,1035,36,73062.02037522923
USGS-07307800,TX3408510118419980710,5,122163.35403121269,1902,2,90938.22770120039
USGS-07307800,TX3408610071120060710,NA,NA,NA,NA,NA
USGS-07307800,TX3409010057920160714,9,69294.43494594788,662,41,44562.21363683461
USGS-07307800,TX3409910050020110611,19,46652.97080804428,355,9,33025.808849740344
USGS-07307800,TX3409910075020071119,3,88399.2518005948,956,16,62329.20608105671
USGS-07307800,TX3411910045420170723,4,47519.53222718872,456,53,34339.27640481001
USGS-07307800,TX3412910059519960211,10,66101.43191108508,642,5,46127.653514250494
USGS-07307800,TX3413010050819980703,23,53408.14337913673,538,1,37470.802941888294
USGS-07307800,TX3413810041419960211,9,43741.0137484948,387,4,31589.458372716083
USGS-07307800,TX3414310041120200217,8,44501.187452686114,400,3,29046.966904105146
USGS-07307800,TX3414910071920071119,NA,NA,NA,NA,NA
USGS-07307800,TX3416410060719980912,2,65461.5477618197,564,87,46483.92741317783
USGS-07307800,TX3418910021220110608,7,18436.562822297125,152,4,12318.970078452618
USGS-07307800,TX3423610020219950217,5,16659.079737808574,212,17,7235.318058777903
USGS-07307800,TX3428810020820110402,28,14268.388265791997,146,1,9794.740846306006
USGS-07307800,TX3429610013319960323,7,3521.026825272591,34,58,42.245017743195866
USGS-07307800,TX3430510071919910310,10,70872.98989627541,1090,4,52199.47553146832
USGS-07307800,TX3432310017220060312,28,11429.9742349166,43,124,7457.723071600756
USGS-07307800,TX3445710081520170210,3,104591.63594968247,1086,36,67202.74591897911
USGS-07307800,TX3447710074220200711,2,96652.93476568416,1168,66,65443.1553333078
USGS-07311783,TX3350510054119960424,7,46519.73475450216,50,20,24052.521966824508
USGS-07311783,TX3354510075720110507,19,46519.73475450216,50,20,24447.302419378255
USGS-07311783,TX3365810022119910222,NA,NA,NA,NA,NA
USGS-07311783,TX3365910053119990831,3,51193.11268120738,58,7,27497.44899197949
USGS-07311783,TX3366010023320000910,NA,NA,NA,NA,NA
USGS-07311783,TX3367610070220160808,NA,NA,NA,NA,NA
USGS-07311800,TX3328510032520110406,2,95237.12589489156,93,15,33249.630038196985
USGS-07311800,TX3350510054119960424,7,137522.63876368813,174,20,61850.95467218071
USGS-07311800,TX3354510075720110507,19,137522.63876368813,174,20,62156.98931264197
USGS-07311800,TX3357810005420080314,6,40815.67752580976,38,9,15092.67834357055
USGS-07311800,TX3360409998919960307,5,40279.76275650505,38,22,14963.595413185833
USGS-07311800,TX3365810022119910222,6,87435.33733734477,98,65,34647.699447472245
USGS-07311800,TX3365910053119990831,3,142196.01669039333,184,7,65116.29385258018
USGS-07311800,TX3366010023320000910,3,91150.96465256212,97,4,39047.75637926042
USGS-07311800,TX3367610070220160808,NA,NA,NA,NA,NA
USGS-07311800,TX3368910024819910222,3,99943.19283050862,128,3,40390.64507008767
USGS-07311800,TX3369510000020060715,3,44924.13503141024,44,187,17285.333215528768
USGS-07311800,TX3371410004819940403,18,30920.321665795826,27,21,17010.371935386633
USGS-07311800,TX3380309992920160210,NA,NA,NA,NA,NA
USGS-08079575,NM3349810333820180412,NA,NA,NA,NA,NA
USGS-08079575,NM3361510307319910710,NA,NA,NA,NA,NA
USGS-08079575,NM3386810321220160302,NA,NA,NA,NA,NA
USGS-08079575,NM3417210306820020610,NA,NA,NA,NA,NA
USGS-08079575,NM3418010308019881115,NA,NA,NA,NA,NA
USGS-08079575,TX3325210146620110624,2,12681.410986528595,7,65,8618.797850840456
USGS-08079575,TX3328610139320110409,3,8346.654668086217,6,7,6517.6342954081165
USGS-08079575,TX3375810245320090305,3,170985.9569901632,123,9,114815.96195091699
USGS-08079575,TX3376010256020110429,NA,NA,NA,NA,NA
USGS-08079575,TX3384410251319980710,NA,NA,NA,NA,NA
USGS-08079575,TX3388410269720100510,NA,NA,NA,NA,NA
USGS-08079575,TX3399410219220100313,3,171347.1472255524,80,10,112915.76265060213
USGS-08079575,TX3413210226620100331,NA,NA,NA,NA,NA
USGS-08079575,TX3414110264520110628,NA,NA,NA,NA,NA
USGS-08079575,TX3416010283620091107,NA,NA,NA,NA,NA
USGS-08079575,TX3416410274920080407,NA,NA,NA,NA,NA
USGS-08079575,TX3416910301719880315,NA,NA,NA,NA,NA
USGS-08079575,TX3417110252020060406,NA,NA,NA,NA,NA
USGS-08079600,TX3304910124120110403,2,7166.081446025472,78,85,1650.750572142448
USGS-08079600,TX3305410159320060415,NA,NA,NA,NA,NA
USGS-08079600,TX3325210146620110624,NA,NA,NA,NA,NA
USGS-08117995,TX3271310157920080331,15,41976.53879049394,47,81,20873.315750284455
USGS-08119500,TX3213810016420110227,4,9524.20168918185,8,70,5740.365655738255
USGS-08119500,TX3271310157920080331,15,83699.3636852994,165,81,44628.43750165111
USGS-08119500,TX3279110103820080308,1,37494.83103243293,22,16,24171.674094344296
USGS-08119500,TX3283910143319921114,4,78534.5977437942,319,153,43517.110134142706
USGS-08120500,TX3268010094220080223,5,12093.113273121453,5,170,6168.531751883324
USGS-08120500,TX3279110103820080308,1,39769.565031876475,22,224,23207.979104775295
USGS-08120500,TX3290510106320110425,1,53635.06964005128,28,36,37037.633864857395
USGS-08120500,TX3295210110120110709,NA,NA,NA,NA,NA
USGS-08120700,TX3213810016420110227,6,10466.698171132584,29,30,4364.706781272078
USGS-08120700,TX3268010094220080223,6,33768.27665903299,49,170,17429.889093645164
USGS-08120700,TX3271310157920080331,15,116261.77192861114,245,81,56525.39954194408
USGS-08120700,TX3279110103820080308,2,61444.728417788014,101,224,31914.96539441153
USGS-08120700,TX3283910143319921114,4,111097.00598710595,397,153,55460.49309924132
USGS-08120700,TX3290510106320110425,1,75310.23302596282,121,36,46891.57068769087
USGS-08120700,TX3295210110120110709,NA,NA,NA,NA,NA
USGS-08121000,TX3209710116720110227,6,6004.143715403592,29,2,2323.6587407175984
USGS-08121000,TX3213810016420110227,6,34898.89070644621,12,30,15363.182486522503
USGS-08121000,TX3268010094220080223,6,58200.46919434661,48,170,26388.82641579669
USGS-08121000,TX3271310157920080331,15,140693.96446392476,280,81,66970.74342003424
USGS-08121000,TX3279110103820080308,2,85876.92095310162,121,224,42863.243643068905
USGS-08121000,TX3283910143319921114,4,135529.19852241958,418,153,66742.02721794533
USGS-08121000,TX3290510106320110425,1,99742.42556127645,150,36,57273.118719546466
USGS-08121000,TX3295210110120110709,NA,NA,NA,NA,NA
USGS-08317950,NM3538710592319880329,5,32789.15029150863,153,17,26098.97764588306
USGS-083299375,NM3518410685520070823,2,17909.187869438025,4,11,13218.659185918685
USGS-08340500,NM3534510752720190804,7,85250.43092738242,565,102,39895.39471831955
USGS-08343000,NM3515110819920210506,NA,NA,NA,NA,NA
USGS-08343000,NM3516710814920120423,NA,NA,NA,NA,NA
USGS-08343000,NM3518110815220180410,1,56972.82869703224,232,63,24476.517452121585
USGS-08343000,NM3518310818420190426,5,57334.850570528426,232,58,26588.1006506726
USGS-08343000,NM3518410813520180412,8,31439.900274515356,134,35,16868.259604126957
USGS-08343000,NM3519110809020040612,10,27942.41102248747,104,44,15215.344833914496
USGS-08343000,NM3524310812720180412,2,38103.20558661159,153,40,19936.195321190604
USGS-08343000,NM3529410764819990603,6,49732.94878603019,293,10,21414.72578957065
USGS-08343500,NM3515110819920210506,NA,NA,NA,NA,NA
USGS-08343500,NM3516710814920120423,NA,NA,NA,NA,NA
USGS-08343500,NM3518110815220180410,1,75193.06142858097,225,63,37095.66055048134
USGS-08343500,NM3518310818420190426,5,75555.08330207717,225,58,38950.41432137781
USGS-08343500,NM3518410813520180412,8,49660.133006064076,110,35,28859.215012971767
USGS-08343500,NM3519110809020040612,10,46162.643754036195,80,44,28498.20389445506
USGS-08343500,NM3524310812720180412,2,56323.438318160326,128,40,33957.15543557277
USGS-08343500,NM3529410764819990603,6,67953.18151757892,303,10,23007.29292745779
USGS-08353000,NM3444210707520080530,13,31983.144450037482,258,9,17613.362287775006
USGS-08353000,NM3465210780320140502,9,213359.14157546574,2145,3,86184.6570173592
USGS-08353000,NM3515110819920210506,NA,NA,NA,NA,NA
USGS-08353000,NM3516710814920120423,NA,NA,NA,NA,NA
USGS-08353000,NM3518110815220180410,1,273706.127288607,2232,63,145090.62299217703
USGS-08353000,NM3518310818420190426,5,274068.1491621032,2232,58,146462.61700451138
USGS-08353000,NM3518410685520070823,NA,NA,NA,NA,NA
USGS-08353000,NM3518410813520180412,8,248173.19886609013,1950,35,136787.8784773244
USGS-08353000,NM3519110809020040612,10,244675.70961406222,1886,44,137647.8724089009
USGS-08353000,NM3524310812720180412,2,254836.50417818638,1986,40,144192.60324392092
USGS-08353000,NM3529410764819990603,6,266466.24737760494,2406,10,120173.33888995198
USGS-08353000,NM3534510752720190804,7,317158.2249871652,3112,102,116987.78825001317
USGS-08353000,NM3615710692420190703,1,337170.95473298954,3437,35,193661.12272673543
USGS-08353000,NM3621110689420060624,NA,NA,NA,NA,NA
USGS-08354800,NM3444210707520080530,6,35889.24563762747,222,18,23178.442002985023
USGS-08358300,NM3368510699720170626,2,0,76,15,0
USGS-08358300,NM3370210695419960425,1,2154.823887818021,76,11,1300.6289225239368
USGS-08358300,NM3371410694420060503,11,0,76,15,241.98709269836692
USGS-08358300,NM3384210684219960608,2,22147.188959014456,73,51,17810.729204291998
USGS-08358300,NM3393110684319880327,NA,NA,NA,NA,NA
USGS-08358300,NM3396910709620090420,31,43828.43658360808,221,16,25976.22479512834
USGS-08382500,NM3525310486320000211,9,13186.802175932395,13,29,7179.604430588603
USGS-08382500,NM3530710473420180615,1,20560.814949389143,17,4,11113.591301428267
USGS-08382500,NM3535510485220160406,2,32958.67447840417,45,12,18077.715625057182
USGS-08382500,NM3548910490520160229,NA,NA,NA,NA,NA
USGS-08382500,NM3555610510819960606,2,103116.51030837599,237,6,53715.910933427775
USGS-08382500,NM3570310559420000529,1,138959.91006542766,328,1,84088.54318862608
USGS-08383500,NM3468310502120000309,NA,NA,NA,NA,NA
USGS-08383500,NM3473010506520000316,NA,NA,NA,NA,NA
USGS-08383500,NM3476310545920170209,3,129484.71882516978,313,36,78150.24413039471
USGS-08383500,NM3478610492819880222,3,56864.14149779142,112,41,23446.262022169813
USGS-08383500,NM3485810491220110401,2,69346.82951696352,138,14,32862.316656416624
USGS-08383500,NM3494710535420080624,2,116061.77265397247,240,6,75116.88102763338
USGS-08383500,NM3498410525919880221,1,116097.44896876925,262,79,69595.7541442329
USGS-08383500,NM3499410446619920319,1,46727.544494827416,77,11,27660.238170650402
USGS-08383500,NM3499910519320110507,NA,NA,NA,NA,NA
USGS-08383500,NM3511510474220000806,1,82448.04153411591,202,9,45027.71314849949
USGS-08383500,NM3518210477820060413,1,104947.89086755576,243,60,53224.15937345758
USGS-08383500,NM3520010461620060718,NA,NA,NA,NA,NA
USGS-08383500,NM3525310486320000211,9,128266.41934121109,402,29,60445.43731601238
USGS-08383500,NM3530710473420180615,1,135640.43211466784,416,4,66577.18372941612
USGS-08383500,NM3532810554820211019,2,216778.41049352245,923,59,111401.41794559169
USGS-08383500,NM3534310555920210409,NA,NA,NA,NA,NA
USGS-08383500,NM3535510485220160406,2,148038.29164368287,479,12,74725.245221615
USGS-08383500,NM3535710564020180302,2,226340.80091500666,1002,28,118856.52874965468
USGS-08383500,NM3548910490520160229,NA,NA,NA,NA,NA
USGS-08383500,NM3553410550120210509,NA,NA,NA,NA,NA
USGS-08383500,NM3553810546220150606,2,230052.61352970125,1291,45,122766.91393318011
USGS-08383500,NM3555610510819960606,2,218196.12747365466,1029,6,113600.81362244826
USGS-08383500,NM3570310559420000529,24,254039.52723070633,1253,1,140349.20356092448
USGS-08383500,NM3571510568020130530,7,279823.79565730866,1465,25,148579.4022835831
USGS-08383500,NM3584910555020020615,4,300887.11713610665,1492,12,152633.45206571984
USGS-08383500,NM3591110572720130610,4,300690.3167708061,1532,36,161974.9043634081
USGS-08384500,NM3468310502120000309,NA,NA,NA,NA,NA
USGS-08384500,NM3473010506520000316,NA,NA,NA,NA,NA
USGS-08384500,NM3476310545920170209,3,156368.43423932153,358,36,92624.78767748937
USGS-08384500,NM3478610492819880222,3,83747.85691194313,150,41,40042.720154188195
USGS-08384500,NM3485310410620150313,NA,NA,NA,NA,NA
USGS-08384500,NM3485810491220110401,2,96230.54493111525,176,14,50414.507685923214
USGS-08384500,NM3494710535420080624,2,142945.48806812422,307,6,91846.3262228864
USGS-08384500,NM3498410525919880221,1,142981.16438292098,296,79,87129.62574796489
USGS-08384500,NM3499410446619920319,1,73611.25990897915,117,11,41638.064427239995
USGS-08384500,NM3499910519320110507,NA,NA,NA,NA,NA
USGS-08384500,NM3511510474220000806,1,109331.75694826765,255,9,63211.677462470405
USGS-08384500,NM3518210477820060413,1,131831.6062817075,276,60,71227.10888422158
USGS-08384500,NM3520010461620060718,NA,NA,NA,NA,NA
USGS-08384500,NM3525310486320000211,9,155150.1347553628,278,29,78563.26657054231
USGS-08384500,NM3530710473420180615,1,162524.14752881957,444,4,84673.82130514643
USGS-08384500,NM3532810554820211019,2,243662.1259076742,957,59,129826.3965651194
USGS-08384500,NM3534310555920210409,NA,NA,NA,NA,NA
USGS-08384500,NM3535510485220160406,2,174922.00705783462,500,12,92760.2754683568
USGS-08384500,NM3535710564020180302,2,253224.5163291584,1036,28,137321.38550253373
USGS-08384500,NM3548910490520160229,NA,NA,NA,NA,NA
USGS-08384500,NM3553410550120210509,NA,NA,NA,NA,NA
USGS-08384500,NM3553810546220150606,2,256936.328943853,1340,45,141561.73093035654
USGS-08384500,NM3555610510819960606,2,245079.84288780642,1063,6,131882.02465265646
USGS-08384500,NM3570310559420000529,24,280923.2426448581,1302,1,159145.21349107483
USGS-08384500,NM3571510568020130530,7,306707.5110714604,1514,25,167372.2851356286
USGS-08384500,NM3584910555020020615,4,327770.8325502584,1541,12,171360.05490223924
USGS-08384500,NM3591110572720130610,4,327574.0321849578,1581,36,180713.4364903606
USGS-08385500,NM3435410460419910326,NA,NA,NA,NA,NA
USGS-08385500,NM3444410434820000217,18,0,91,4,0
USGS-08385500,NM3454310482319900625,NA,NA,NA,NA,NA
USGS-08385500,NM3461110428620110618,7,19852.235517560475,101,355,13739.827943298573
USGS-08385500,NM3468310502120000309,NA,NA,NA,NA,NA
USGS-08385500,NM3473010506520000316,NA,NA,NA,NA,NA
USGS-08385500,NM3476310545920170209,3,186803.42199262851,459,36,106528.71442404887
USGS-08385500,NM3478610492819880222,3,114182.84466525013,217,41,56341.65829117633
USGS-08385500,NM3485310410620150313,NA,NA,NA,NA,NA
USGS-08385500,NM3485810491220110401,2,126665.53268442224,270,14,67017.32102534095
USGS-08385500,NM3487210425920110721,NA,NA,NA,NA,NA
USGS-08385500,NM3494710535420080624,2,173380.4758214312,419,6,107501.76154389682
USGS-08385500,NM3498410525919880221,1,173416.15213622796,408,79,103429.51352807469
USGS-08385500,NM3499410446619920319,1,104046.24766228614,238,11,57608.31956179173
USGS-08385500,NM3499910519320110507,NA,NA,NA,NA,NA
USGS-08385500,NM3511510474220000806,1,139766.74470157461,349,9,80582.34402019453
USGS-08385500,NM3518210477820060413,1,162266.59403501448,388,60,88517.87850741047
USGS-08385500,NM3520010461620060718,NA,NA,NA,NA,NA
USGS-08385500,NM3525310486320000211,9,185585.12250866977,550,29,95885.98853039174
USGS-08385500,NM3530710473420180615,1,192959.13528212655,566,4,101979.59752351286
USGS-08385500,NM3532810554820211019,2,274097.1136609812,1083,59,146788.86846903412
USGS-08385500,NM3534310555920210409,NA,NA,NA,NA,NA
USGS-08385500,NM3535510485220160406,2,205356.99481114157,630,12,110029.34143731876
USGS-08385500,NM3535710564020180302,2,283659.50408246537,1164,28,154317.97905802677
USGS-08385500,NM3548910490520160229,NA,NA,NA,NA,NA
USGS-08385500,NM3553410550120210509,NA,NA,NA,NA,NA
USGS-08385500,NM3553810546220150606,2,287371.31669716,1487,45,158988.0701683696
USGS-08385500,NM3555610510819960606,2,275514.8306411134,1193,6,149231.87755919527
USGS-08385500,NM3570310559420000529,24,311358.23039816506,1448,1,176607.58088380864
USGS-08385500,NM3571510568020130530,7,337142.4988247674,1609,25,184789.58779550542
USGS-08385500,NM3584910555020020615,4,358205.82030356536,1636,12,188857.56032931723
USGS-08385500,NM3591110572720130610,4,358009.0199382648,1676,36,198210.85506495438
USGS-08385522,NM3395910460319900628,NA,NA,NA,NA,NA
USGS-08385522,NM3435410460419910326,NA,NA,NA,NA,NA
USGS-08385522,NM3436110411620110711,NA,NA,NA,NA,NA
USGS-08385522,NM3436510390420060422,NA,NA,NA,NA,NA
USGS-08385522,NM3437710409320110810,NA,NA,NA,NA,NA
USGS-08385522,NM3444110416719930315,4,5765.810105058942,37,29,4238.281315013106
USGS-08385522,NM3444410434820000217,27,23449.341263150924,84,2,13784.992325820762
USGS-08385522,NM3444710387920110410,NA,NA,NA,NA,NA
USGS-08385522,NM3450010404519940818,3,38722.77672452369,179,4,26960.530679934396
USGS-08385522,NM3454310482319900625,NA,NA,NA,NA,NA
USGS-08385522,NM3460510376020090304,2,72410.54238498824,246,33,46719.29765749115
USGS-08385522,NM3461110428620110618,8,44490.12315597076,192,355,29615.602748580426
USGS-08385522,NM3464910402220110412,NA,NA,NA,NA,NA
USGS-08385522,NM3466710390919890131,1,92468.160756373,294,37,43241.69015586964
USGS-08385522,NM3468310502120000309,NA,NA,NA,NA,NA
USGS-08385522,NM3473010506520000316,NA,NA,NA,NA,NA
USGS-08385522,NM3476310545920170209,3,211441.30963103878,635,36,120317.55654034985
USGS-08385522,NM3478310407419990305,1,118421.95188208959,373,55,49525.616772586385
USGS-08385522,NM3478610492819880222,3,138820.7323036604,441,41,73055.77442921918
USGS-08385522,NM3485310410620150313,NA,NA,NA,NA,NA
USGS-08385522,NM3485810491220110401,2,151303.4203228325,467,14,83891.33083867453
